[0.000000] (-) TimerEvent: {}
[0.000488] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000604] (-) JobUnselected: {'identifier': 'diffdrive_arduino'}
[0.000650] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000674] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000712] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000736] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000761] (-) JobUnselected: {'identifier': 'extender_arduino'}
[0.000789] (-) JobUnselected: {'identifier': 'joy_tester'}
[0.000816] (-) JobUnselected: {'identifier': 'listener_package'}
[0.000840] (-) JobUnselected: {'identifier': 'minibot'}
[0.000862] (-) JobUnselected: {'identifier': 'my_package'}
[0.000887] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000909] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000933] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000957] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001027] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001051] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.001074] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001096] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001394] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001790] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001938] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001975] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.002000] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.002021] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.002046] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.002068] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.002086] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.002103] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.002120] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002137] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002159] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002186] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.002210] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002232] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.002254] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.002273] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.002293] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002314] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.002336] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002356] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.002377] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002399] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002418] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002435] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002454] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002475] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.002494] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.002512] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.002530] (-) JobUnselected: {'identifier': 'serial'}
[0.002563] (-) JobUnselected: {'identifier': 'serial_motor_demo'}
[0.002588] (-) JobUnselected: {'identifier': 'serial_motor_demo_msgs'}
[0.002605] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.002622] (-) JobUnselected: {'identifier': 'twist_stamper'}
[0.002640] (-) EventReactorShutdown: {}
